Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
576	1,320602	1,065292	1,160065	0,476349	0,321472	0,340836	0,60405	0,350098
577	1,323563	1,071609	1,166428	0,479309	0,323318	0,342636	0,607712	0,352081
578	1,326416	1,077881	1,172592	0,482193	0,32518	0,344391	0,611298	0,354034
579	1,329071	1,084045	1,178558	0,484955	0,326904	0,346054	0,6147	0,35582
580	1,331772	1,090012	1,184448	0,487747	0,328751	0,347763	0,618225	0,357666
581	1,334305	1,095749	1,189987	0,490417	0,330414	0,349365	0,621552	0,35936
582	1,336746	1,101288	1,195267	0,492935	0,33194	0,350784	0,62471	0,360931
583	1,339127	1,106659	1,200394	0,495468	0,333496	0,352158	0,627838	0,362457
584	1,341293	1,111816	1,205215	0,497772	0,334976	0,353485	0,630798	0,363846
585	1,343414	1,116898	1,209976	0,500137	0,336395	0,354752	0,633804	0,365189
586	1,34549	1,121872	1,214478	0,502396	0,337784	0,355911	0,636688	0,366379
587	1,34726	1,126358	1,218475	0,504379	0,338974	0,356964	0,639236	0,367416
588	1,349075	1,13092	1,222534	0,506454	0,340271	0,357941	0,641876	0,36853
589	1,350937	1,135269	1,22644	0,508408	0,341492	0,358978	0,644424	0,369553
590	1,352509	1,139191	1,229935	0,510132	0,342514	0,359787	0,646683	0,370361
591	1,353867	1,142731	1,232864	0,511673	0,34343	0,360489	0,648697	0,370972
592	1,355286	1,146286	1,235748	0,513229	0,344376	0,361206	0,650757	0,371567
593	1,356323	1,149399	1,238281	0,514526	0,345108	0,361679	0,652603	0,371994
594	1,357269	1,1521	1,240356	0,515625	0,345718	0,362091	0,654175	0,372253
595	1,357971	1,154419	1,242065	0,516617	0,346222	0,36232	0,655487	0,37236
596	1,358582	1,156494	1,243378	0,517471	0,34668	0,362534	0,656738	0,372498
597	1,35881	1,158096	1,244324	0,518036	0,346939	0,362503	0,657684	0,372269
598	1,359039	1,159164	1,244751	0,518417	0,347092	0,362335	0,65831	0,371994
599	1,359055	1,159973	1,244781	0,518616	0,347168	0,362167	0,658813	0,371552
600	1,358627	1,160233	1,244308	0,51857	0,347	0,361786	0,658951	0,370987
601	1,358124	1,16008	1,243317	0,518341	0,346756	0,361282	0,65892	0,370285
602	1,357437	1,159378	1,241928	0,517914	0,346359	0,360596	0,658569	0,369446
603	1,356537	1,158249	1,239975	0,517273	0,34584	0,359894	0,657959	0,368484
604	1,355362	1,156555	1,237473	0,516342	0,345169	0,358917	0,657089	0,367325
605	1,353897	1,154327	1,234421	0,515213	0,344345	0,357895	0,65593	0,366089
606	1,352249	1,15152	1,230637	0,513824	0,343307	0,356659	0,654404	0,364594
607	1,350098	1,148041	1,226303	0,5121	0,342102	0,355301	0,652527	0,36293
608	1,347702	1,143951	1,221329	0,510147	0,340714	0,353714	0,650345	0,361084
609	1,345154	1,139328	1,215851	0,508011	0,339203	0,352066	0,647842	0,359207
610	1,342163	1,133987	1,209442	0,505478	0,337479	0,350128	0,644943	0,357056
611	1,338867	1,127975	1,202545	0,502686	0,335602	0,348068	0,641663	0,354752
612	1,33522	1,121414	1,195038	0,499664	0,333511	0,345886	0,638199	0,352325
613	1,331314	1,114059	1,186615	0,496353	0,331299	0,343552	0,634216	0,349747
614	1,326828	1,10556	1,176987	0,492462	0,328705	0,340836	0,629593	0,346848
615	1,322113	1,096817	1,167191	0,488525	0,32605	0,338165	0,624847	0,343918
616	1,3172	1,087433	1,156876	0,484406	0,323334	0,335403	0,619858	0,340958
617	1,311722	1,077011	1,145325	0,479752	0,320221	0,33223	0,614258	0,337631
618	1,306152	1,066162	1,133179	0,474869	0,317017	0,328964	0,608398	0,334244
619	1,300171	1,054779	1,120529	0,469803	0,313705	0,325638	0,602249	0,330734
620	1,293915	1,042419	1,106903	0,464447	0,310135	0,322083	0,595703	0,327057
621	1,287445	1,029495	1,092728	0,458954	0,306442	0,318436	0,588882	0,323227
622	1,280472	1,015945	1,077896	0,453033	0,302597	0,314636	0,581619	0,319275
623	1,273041	1,001114	1,061996	0,44664	0,298416	0,310577	0,573715	0,315063
624	1,265182	0,985703	1,045532	0,439987	0,294083	0,306366	0,565491	0,31073
625	1,257477	0,97052	1,029007	0,433472	0,289871	0,302216	0,557327	0,306503
626	1,249405	0,954788	1,011765	0,426575	0,285431	0,297836	0,548767	0,302109
627	1,240952	0,93837	0,993774	0,419495	0,280762	0,293304	0,539917	0,297531
628	1,232803	0,92189	0,975983	0,412598	0,276199	0,288788	0,531311	0,293106
629	1,224426	0,904907	0,957611	0,405518	0,2715	0,284195	0,522278	0,288559
630	1,215454	0,886734	0,938156	0,397827	0,266464	0,279388	0,512634	0,283676
631	1,206665	0,869019	0,919556	0,39035	0,261597	0,274857	0,503128	0,278931
632	1,197754	0,850937	0,900589	0,382706	0,256638	0,270142	0,493637	0,274139
633	1,188492	0,831909	0,880035	0,374634	0,251434	0,265121	0,483475	0,269211
634	1,178619	0,813049	0,859207	0,366486	0,246262	0,259949	0,473129	0,264175
635	1,168396	0,794281	0,838745	0,358276	0,241043	0,254913	0,462845	0,259079
636	1,158234	0,774368	0,817368	0,349915	0,235596	0,249619	0,452347	0,253845
637	1,147842	0,753799	0,795288	0,341446	0,229904	0,24408	0,441498	0,248383
638	1,137985	0,734131	0,774307	0,333328	0,224594	0,238983	0,431076	0,243256
639	1,127716	0,714081	0,753372	0,324997	0,219223	0,233902	0,42038	0,238052
640	1,116989	0,693268	0,731537	0,316223	0,213486	0,228455	0,409332	0,232666
641	1,106918	0,673553	0,710449	0,307938	0,208206	0,223221	0,398636	0,2276
642	1,097061	0,654373	0,68956	0,299667	0,203033	0,218079	0,388123	0,222504
643	1,08699	0,63446	0,668106	0,291321	0,197601	0,212738	0,377472	0,217239
644	1,077271	0,614624	0,646866	0,283142	0,192169	0,207443	0,366959	0,211945
645	1,067902	0,595169	0,625961	0,275024	0,186813	0,202209	0,356445	0,206802
646	1,058517	0,575867	0,605392	0,266922	0,181534	0,197128	0,345978	0,20166
647	1,049408	0,557114	0,585693	0,259003	0,176468	0,19223	0,33577	0,196716
648	1,040329	0,538437	0,566055	0,25119	0,171326	0,187241	0,32579	0,191772
649	1,031097	0,51947	0,545883	0,243179	0,166153	0,182068	0,315384	0,186707
650	1,022293	0,501602	0,526505	0,235489	0,161224	0,177155	0,305527	0,1819
651	1,013733	0,484299	0,507858	0,228149	0,156479	0,17244	0,296097	0,177185
652	1,005219	0,466782	0,48941	0,22084	0,151703	0,167694	0,286713	0,172424
653	0,996933	0,449387	0,471008	0,213608	0,14682	0,162964	0,277267	0,167572
654	0,988892	0,432693	0,453415	0,206543	0,142197	0,158447	0,268066	0,162979
655	0,980865	0,41629	0,43605	0,19957	0,137634	0,15387	0,259003	0,158401
656	0,973007	0,400238	0,419037	0,192688	0,133194	0,149414	0,250137	0,153961
657	0,965439	0,384705	0,40239	0,186035	0,128937	0,14505	0,24144	0,149628
658	0,957779	0,369095	0,385742	0,179276	0,124466	0,140564	0,232742	0,145065
659	0,950562	0,354324	0,36998	0,172928	0,120316	0,136383	0,224457	0,140869
660	0,943573	0,33989	0,35466	0,166855	0,116302	0,132324	0,216583	0,13681
661	0,936493	0,325119	0,338974	0,160614	0,112061	0,128006	0,208359	0,132507
662	0,929703	0,311035	0,324142	0,154556	0,108032	0,123871	0,200439	0,128311
663	0,923294	0,297729	0,310226	0,148758	0,104248	0,120041	0,192886	0,124405
664	0,916962	0,284714	0,296616	0,143127	0,10051	0,116211	0,185516	0,120544
665	0,910843	0,272232	0,283493	0,137695	0,09697	0,112549	0,178436	0,116852
666	0,90506	0,260437	0,270798	0,132462	0,093506	0,108948	0,171524	0,113235
667	0,899368	0,248734	0,258347	0,127228	0,090073	0,105316	0,16481	0,109558
668	0,893951	0,237503	0,24646	0,122299	0,086746	0,101883	0,158493	0,106079
669	0,888809	0,226852	0,235153	0,117645	0,083572	0,098526	0,152344	0,102661
670	0,883682	0,21608	0,223755	0,112839	0,080383	0,095154	0,146057	0,099258
671	0,878784	0,205856	0,213058	0,108353	0,077393	0,092041	0,14006	0,096024
672	0,874222	0,196411	0,203247	0,104065	0,074539	0,089081	0,134552	0,092957
673	0,869827	0,187302	0,193588	0,09996	0,071793	0,086121	0,12915	0,089951
674	0,86554	0,178345	0,184189	0,095993	0,069092	0,083176	0,123886	0,087051
675	0,861542	0,170288	0,175629	0,092239	0,066635	0,08049	0,119034	0,084259
676	0,857742	0,162537	0,167496	0,088654	0,064178	0,077866	0,114349	0,081589
677	0,85405	0,154694	0,159302	0,085114	0,061737	0,075226	0,109741	0,078888
678	0,850586	0,147507	0,151718	0,081802	0,059494	0,072739	0,105377	0,076385
679	0,847427	0,140778	0,144714	0,07869	0,057404	0,070465	0,101288	0,074005
680	0,844177	0,134079	0,137695	0,075546	0,055267	0,068146	0,097061	0,071655
681	0,841034	0,127533	0,130951	0,072449	0,053162	0,065796	0,093094	0,069305
682	0,838196	0,121597	0,124695	0,069717	0,051239	0,06366	0,089462	0,067169
683	0,835388	0,115738	0,11853	0,06694	0,049316	0,061478	0,08577	0,064972
684	0,832626	0,10994	0,112488	0,064117	0,047394	0,059387	0,082123	0,062805
685	0,830093	0,104706	0,107178	0,061584	0,045624	0,057419	0,078827	0,06076
686	0,827637	0,099594	0,101929	0,059097	0,043884	0,055481	0,075623	0,058792
687	0,825226	0,094635	0,096664	0,056625	0,04216	0,053528	0,072372	0,056839
688	0,823059	0,090164	0,091995	0,054306	0,040665	0,051773	0,069443	0,055084
689	0,820984	0,085876	0,087555	0,052246	0,039154	0,050049	0,066711	0,053329
